Caffeine Couture,Cake Corner,Donut Delights,Java Coffee House,Juice Junction,Sumo Sushi,Tea Haven,Tea Leaf Dreams,Scoop Haven
96,31,13,12,21,64,70,62,26
70,65,59,90,12,73,44,14,83
58,75,96,34,29,38,61,32,55
97,64,18,91,89,48,11,66,7
58,9,35,31,33,1,74,57,29
78,74,27,41,21,14,87,14,40
46,55,25,60,42,92,21,84,90
52,59,75,23,76,53,77,88,70
40,9,83,87,98,91,24,61,87
95,33,84,3,34,92,3,56,26
3,99,45,13,37,65,5,23,19
27,32,17,46,20,21,59,44,44
48,48,22,93,10,83,10,96,9
4,3,2,72,90,46,85,84,78
7,94,18,48,8,66,14,31,22
5,73,77,8,87,60,13,52,3
99,86,91,75,71,34,33,69,41
53,90,10,25,16,74,70,46,49
96,0,61,84,30,5,94,72,16
90,74,27,14,7,41,84,85,86
51,38,0,50,42,79,64,4,76
84,90,52,92,60,91,48,86,17
97,21,70,54,79,32,27,71,61
71,4,5,53,64,68,22,58,98
32,36,3,44,60,81,58,34,51
56,34,89,64,12,41,43,57,19
9,22,25,1,81,25,53,6,96
58,76,48,16,5,79,23,27,37
45,16,49,51,50,22,69,28,29
13,3,94,79,53,73,55,74,71
81,43,57,59,17,66,70,9,89
16,37,45,35,64,92,71,22,82
14,44,18,13,45,22,25,10,7
76,40,23,70,56,29,80,73,35
64,65,84,7,0,41,19,4,65
38,82,0,67,13,87,35,89,94
11,97,81,46,4,36,94,60,2
58,4,73,2,47,22,92,37,75
26,20,12,97,20,61,1,89,95
22,45,64,40,25,30,25,26,90
64,18,88,56,90,50,87,20,72
66,33,77,85,93,44,66,18,19
36,49,60,76,50,19,96,48,63
14,14,0,96,9,46,62,44,52
93,42,11,37,12,19,94,92,91
32,23,29,24,64,45,17,64,62
0,88,1,86,61,8,62,23,59
37,76,52,31,85,12,28,85,51
85,12,42,46,16,75,81,35,43
16,93,48,10,68,2,51,55,37
80,63,16,61,41,44,71,63,18
29,23,27,69,39,52,42,56,68
23,83,59,37,30,25,32,5,0
40,9,30,14,35,32,95,95,13
51,21,8,74,89,58,17,74,11
89,12,27,24,38,67,90,90,79
87,14,4,56,73,81,29,78,10
39,79,1,75,64,24,41,92,63
11,43,31,7,65,22,88,48,2
66,98,66,18,36,89,59,19,39
